id,year,brand,title,current_outbound,source_url,youtube_search,cand1_score,cand1_title,cand1_url,cand2_score,cand2_title,cand2_url,cand3_score,cand3_title,cand3_url
"super-bowl-2017-ispot-a3cq","2017","FX Network","Feud Super Bowl 2017 TV Promo","https://www.ispot.tv/ad/A3cQ/feud-super-bowl-2017-tv-promo","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=FX%20Network%20Feud%20Super%20Bowl%202017%20TV%20Promo%20super%20bowl%202017%20ad","0.417","FX commercials (2017)","https://www.youtube.com/watch?v=r9hqs4yFd4Q","0.297","Stranger Things 2 | Super Bowl 2017 Ad | Netflix","https://www.youtube.com/watch?v=9Egf5U8xLo8","0.273","Kia Super Bowl Commercial 2017 Melissa McCarthy","https://www.youtube.com/watch?v=HIpoTW1JDFQ"
"super-bowl-2017-ispot-a3ce","2017","FX Network","Legion Super Bowl 2017 TV Promo: Babies","https://www.ispot.tv/ad/A3ce/legion-super-bowl-2017-tv-promo-babies","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=FX%20Network%20Legion%20Super%20Bowl%202017%20TV%20Promo%3A%20Babies%20super%20bowl%202017%20ad","0.367","Legion (FX) ""Real"" Promo HD","https://www.youtube.com/watch?v=sMLNktIg_q4","0.343","Legion | Season 1: Powerful Promo | FX","https://www.youtube.com/watch?v=HO78zopXAy8","0.343","Legion | Season 1: Control Promo | FX","https://www.youtube.com/watch?v=ZSbPLyZc7h8"
"super-bowl-2017-ispot-a3cf","2017","FOX","APB Super Bowl 2017 TV Promo","https://www.ispot.tv/ad/A3cF/apb-super-bowl-2017-tv-promo","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=FOX%20APB%20Super%20Bowl%202017%20TV%20Promo%20super%20bowl%202017%20ad","0.616","FOX 61 Super Bowl 2017 Commercial - Football Toss!","https://www.youtube.com/watch?v=NJbIEM4Z3sw","0.53","Super Bowl LI FOX Promo","https://www.youtube.com/watch?v=pJ1Wpwa-MBY","0.343","FOX 61 - Stormtracker 30 second promo","https://www.youtube.com/watch?v=AbHeANRvcYQ"
"super-bowl-2017-ispot-a33e","2017","FX Network","Legion Super Bowl 2017 TV Promo","https://www.ispot.tv/ad/A33e/legion-super-bowl-2017-tv-promo","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=FX%20Network%20Legion%20Super%20Bowl%202017%20TV%20Promo%20super%20bowl%202017%20ad","0.472","Legion | Comic-Con 2017: A New Dance Number? | FX","https://www.youtube.com/watch?v=LgrGaaS71W0","0.4","Legion (FX) ""Real"" Promo HD","https://www.youtube.com/watch?v=sMLNktIg_q4","0.4","Legion | Official Trailer #1 | FX","https://www.youtube.com/watch?v=Pep_HiCqYJA"
"super-bowl-2017-ispot-a33f","2017","NFL","Patriots: Savage","https://www.ispot.tv/ad/A33F/nfl-super-bowl-2017-patriots-savage","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=NFL%20Patriots%3A%20Savage%20super%20bowl%202017%20ad","0.48","Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point","https://www.youtube.com/watch?v=FyLPJ5JWZYk","0.434","Katie Nolan Gives an Inside Look Into the Patriots Super Bowl 51 Ring Ceremony | NFL Films Presents","https://www.youtube.com/watch?v=pyBZy0rvB9w","0.366","Super Bowl 52 FULL Game: New England Patriots vs. Philadelphia Eagles","https://www.youtube.com/watch?v=0FF_DbJ3G68"
"super-bowl-2018-ispot-wazd","2018","NBC","This Is Us: All Your Questions Will Be Answered","https://www.ispot.tv/ad/waZd/this-is-us-super-bowl-2018-my-purpose","https://www.ispot.tv/events/2018-super-bowl-commercials","https://www.youtube.com/results?search_query=NBC%20This%20Is%20Us%3A%20All%20Your%20Questions%20Will%20Be%20Answered%20super%20bowl%202018%20ad","0.509","This Is Us' Super Bowl Episode Promises All Your Questions About Jack's Death Will Be Answered","https://www.youtube.com/watch?v=0D5ZTkzVPvw","0.441","NBC Super Bowl commercial 2018","https://www.youtube.com/watch?v=3e8mfBChdmc","0.434","What To Expect From This Sunday’s Super Bowl Ads | NBC Nightly News","https://www.youtube.com/watch?v=UkLf18Qwk5I"
"super-bowl-2018-ispot-waoe","2018","NBC","Jesus Christ Superstar Live in Concert: Rock Your Easter Sunday!","https://www.ispot.tv/ad/waoe/jesus-christ-superstar-live-in-concert-super-bowl-2018-tv-promo-soon","https://www.ispot.tv/events/2018-super-bowl-commercials","https://www.youtube.com/results?search_query=NBC%20Jesus%20Christ%20Superstar%20Live%20in%20Concert%3A%20Rock%20Your%20Easter%20Sunday!%20super%20bowl%202018%20ad","0.667","Jesus Christ Superstar Live on NBC Promo - For Easter Sunday April 1","https://www.youtube.com/watch?v=UI6pBVNlNSk","0.565","Jesus Christ Superstar Live in Concert'","https://www.youtube.com/watch?v=gTS5PNMBlvc","0.385","'Jesus Christ Superstar Live In Concert': Behind the scenes","https://www.youtube.com/watch?v=LvkBADVKQAs"
"super-bowl-2018-ispot-waor","2018","NBC","The Voice: Super Commercial","https://www.ispot.tv/ad/waor/the-voice-super-bowl-2018-super-commercial","https://www.ispot.tv/events/2018-super-bowl-commercials","https://www.youtube.com/results?search_query=NBC%20The%20Voice%3A%20Super%20Commercial%20super%20bowl%202018%20ad","0.6","The Voice on NBC.mov","https://www.youtube.com/watch?v=bCu440GFUpo","0.48","Madonna Super Bowl Commercial NBC 2012 M.D.N.A","https://www.youtube.com/watch?v=T94hOH6hraw","0.447","Madonna Superbowl Commercial NBC 2012 M.D.N.A.","https://www.youtube.com/watch?v=-qxiV56w9Qc"
"super-bowl-2018-ispot-waoy","2018","USA Network","20 Years. No Justice.","https://www.ispot.tv/ad/waoy/unsolved-super-bowl-2018-tv-promo-20-years-no-justice","https://www.ispot.tv/events/2018-super-bowl-commercials","https://www.youtube.com/results?search_query=USA%20Network%2020%20Years.%20No%20Justice.%20super%20bowl%202018%20ad","0.4","USA Network 'Characters Unite' Campaign Ad: ""No More""","https://www.youtube.com/watch?v=27tWt_rHDIY","0.2","LIVE: The ALL-American Halftime Show | Courtesy of TPUSA","https://www.youtube.com/watch?v=8IKktRzWepI","0.13","Watch the 2018 Super Bowl commercials","https://www.youtube.com/watch?v=JMQM_j-lcEs"
"super-bowl-2018-ispot-waol","2018","NBC","2018 PyeongChang Winter Olympics: Lindsey Vonn","https://www.ispot.tv/ad/waol/pyeongchang-winter-olympics-super-bowl-2018-tv-promo-lindsey-vonn","https://www.ispot.tv/events/2018-super-bowl-commercials","https://www.youtube.com/results?search_query=NBC%202018%20PyeongChang%20Winter%20Olympics%3A%20Lindsey%20Vonn%20super%20bowl%202018%20ad","0.45","The Comebacks to Watch at the Winter Olympics | Road to PyeongChang 2018","https://www.youtube.com/watch?v=2eVGfVfd4rc","0.45","Countdown to PyeongChang | Olympic Winter Games 2018","https://www.youtube.com/watch?v=nyENFBaBScs","0.45","Lindsey Vonn and Scarlett Johansson: Battle Scars | NBC Sports","https://www.youtube.com/watch?v=jYfVpiZdjFg"
