id,case_name,brand,agency,year,reason,yt_score,ltwm_page_score,outbound_url,source_url,youtube_title,youtube_author,audit_class,audit_note
1997-fishing-washington-state-lottery,FISHING,WASHINGTON STATE LOTTERY,MCCANN ERICKSON,1997,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=xKMURzY_RPo&amp;list=PL8qnTFh9BKW0pswWWA85BPZg0bzkTEEDm&amp;index=71&amp;pp=iAQB&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,[Commercial] Lotto (Lucky Fisherman),videos from vincent,ok,
1997-old-friends-budweiser,OLD FRIENDS,BUDWEISER,GOODBY SILVERSTEIN & PARTNERS,1997,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=fwoy2c6D9sA&amp;list=PL8qnTFh9BKW0pswWWA85BPZg0bzkTEEDm&amp;index=11&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,[Ad] Something strange itstead of beer [Anheuser-Busch],videos from vincent,ok,
1997-news-iii-frito-lay-co,NEWS III,FRITO-LAY CO.,DDB NEEDHAM CHICAGO,1997,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=GGm501vgmV0&amp;ab_channel=platypuscomixII,https://lovetheworkmore.com/1954-1999/,Atlanta Ads: Pretzel Boy Jason Alexander,platypuscomixII,ok,
1997-le-patron-france-telecom,LE PATRON,FRANCE TELECOM,AMMIRATI PURIS LINTAS,1997,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=PrGUS8w5aek&amp;list=PL8qnTFh9BKW0pswWWA85BPZg0bzkTEEDm&amp;index=89&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,[Commercial] Tineris (A cell phone for anyone),videos from vincent,ok,
1997-let-s-work-together-soros-foundation-kyrgyzstan,LET’S WORK TOGETHER,SOROS FOUNDATION KYRGYZSTAN,BESHKEMPIR,1997,low_title_match_vs_youtube,0,0.5,https://www.youtube.com/watch?v=bpAAvG_kGBk&amp;ab_channel=BrynEff,https://lovetheworkmore.com/1954-1999/,Two Little Boys,Bryn Eff,ok,
1996-fishing-harvest-sneaking-thief-nissin-food,"FISHING, HARVEST, SNEAKING THIEF",NISSIN FOOD,HAKUHODO TOKYO,1996,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=4wNT1oXG4Zk&amp;t=24s&amp;ab_channel=hansomx,https://lovetheworkmore.com/1954-1999/,日清杯面原始人篇,hansomx,ok,
1995-gallego-bellsouth-chile,GALLEGO,BELLSOUTH CHILE,LINTAS SANTIAGO,1995,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=xRm-hgf3mLA&amp;list=PL6956B4443105CDA9&amp;index=58&amp;pp=iAQB&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,Speak Double As.mov,videos from vincent,ok,
1995-mind-game-tag-heuer,MIND GAME,TAG HEUER,BDDP BOULOGNE-BILLANCOURT,1995,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=hwqx4R7UfdU&amp;ab_channel=Pubenstock%21,https://lovetheworkmore.com/1954-1999/,Successmindgame2.mov,Pub en stock !,ok,
1995-video-movies-orbis-fabbri,VIDEO MOVIES,ORBIS FABBRI,BASSAT OGILVY & MATHER BARCELONA,1995,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=4DLMSUZCQBE&amp;list=PL6956B4443105CDA9&amp;index=37&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,Manhattan Dr Lecter dubbing.mov,videos from vincent,ok,
1995-lies-channel-13,LIES,CHANNEL 13,Y&R BUENOS AIRES,1995,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=quXm-C8gScc&amp;list=PL6956B4443105CDA9&amp;index=9&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,canal 13.mov,videos from vincent,ok,
