id,year,brand,case_name,youtube_url
super-bowl-2017-ispot-a30_,2017,King's Hawaiian,False Cabinet,https://www.youtube.com/watch?v=ALtEqTBPO4M
super-bowl-2017-ispot-a301,2017,Kia,Hero’s Journey [T1],https://www.youtube.com/watch?v=KeVHmLY7YZc
super-bowl-2017-ispot-a302,2017,It's a 10 Haircare,Great Hair,https://www.youtube.com/watch?v=SBVHJ8ArebA
super-bowl-2017-ispot-a304,2017,FOX,Daytona 500 Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=B1xQ_o5SNW4
super-bowl-2017-ispot-a305,2017,Netflix,Stranger Things Season Two: 1984,https://www.youtube.com/watch?v=9Egf5U8xLo8
super-bowl-2017-ispot-a306,2017,AMC,Walking Dead Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=dolBi2Hnhws
super-bowl-2017-ispot-a308,2017,NFL,Future of Football: Shoes,https://www.youtube.com/watch?v=TZVodtH8R4Y
super-bowl-2017-ispot-a309,2017,FX Network,Legion Super Bowl 2017 TV Promo: Unrestrained,https://www.youtube.com/watch?v=Kyp_eQMB-zI
super-bowl-2017-ispot-a30b,2017,T-Mobile,#BagofUnlimited With Martha Stewart,https://www.youtube.com/watch?v=zZL2ho7m63Q
super-bowl-2017-ispot-a30e,2017,Bud Light,Ghost Spuds,https://www.youtube.com/watch?v=sRn4K3Etudg
super-bowl-2017-ispot-a30f,2017,Amazon Echo,Alexa Moments: My Girl,https://www.youtube.com/watch?v=9KhGVG4Rtf8
super-bowl-2017-ispot-a30h,2017,Amazon Echo,Alexa Moments: Finger Lick,https://www.youtube.com/watch?v=_NEaUHpgdMU
super-bowl-2017-ispot-a30j,2017,FX Network,Legion Super Bowl 2017 TV Promo: Human Race,https://www.youtube.com/watch?v=LVFW8EufLNA
super-bowl-2017-ispot-a30l,2017,FOX,2017 Daytona 500 Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=QlLnwlFI33w
super-bowl-2017-ispot-a30m,2017,Nintendo,Believer,https://www.youtube.com/watch?v=xNu9eaBzwjs
super-bowl-2017-ispot-a30n,2017,FOX,24: Legacy Super Bowl 2017 TV Promo: The Cast,https://www.youtube.com/watch?v=NJbIEM4Z3sw
super-bowl-2017-ispot-a30o,2017,Mr. Clean,Cleaner of Your Dreams,https://www.youtube.com/watch?v=MHs-S82FIn8
super-bowl-2017-ispot-a30p,2017,T-Mobile,#NSFWireless With Kristen Schaal,https://www.youtube.com/watch?v=9khURC59k6I
super-bowl-2017-ispot-a30q,2017,Persil ProClean,Science of Clean: 10 Dimensions,https://www.youtube.com/watch?v=SZeKTIWgUfM
super-bowl-2017-ispot-a30r,2017,Alfa Romeo,Dear Predictable [T1],https://www.youtube.com/watch?v=NIkg1EvyhO0
super-bowl-2017-ispot-a30s,2017,NFL,Inside These Lines,https://www.youtube.com/watch?v=pvKBdrx4quA
super-bowl-2017-ispot-a30t,2017,Snickers,Ruined Commercial,https://www.youtube.com/watch?v=nWzUTj8ioXQ
super-bowl-2017-ispot-a30u,2017,FOX,24: Legacy Super Bowl 2017 TV Promo: It's Back,https://www.youtube.com/watch?v=NJbIEM4Z3sw
super-bowl-2017-ispot-a30v,2017,FOX,24: Legacy Super Bowl 2017 TV Promo: Tonight,https://www.youtube.com/watch?v=NJbIEM4Z3sw
super-bowl-2017-ispot-a30w,2017,Turkish Airlines,Wonder,https://www.youtube.com/watch?v=jvssNjsY818
super-bowl-2017-ispot-a30x,2017,Wix.com,Chez Felix,https://www.youtube.com/watch?v=nVMurIGW_Ns
super-bowl-2017-ispot-a30y,2017,National Geographic,Genius Super Bowl 2017 TV Promo: Coming in April,https://www.youtube.com/watch?v=tMwFUGik6b4
super-bowl-2017-ispot-a30z,2017,Audi,Daughter [T1],https://www.youtube.com/watch?v=qd7LOBlbVl4
super-bowl-2017-ispot-a330,2017,H&R Block,Watson,https://www.youtube.com/watch?v=kylfIE1y_xM
super-bowl-2017-ispot-a333,2017,Avocados From Mexico,Secret Society,https://www.youtube.com/watch?v=uLpq6hD1Mh8
super-bowl-2017-ispot-a338,2017,McDonald's,There’s a Big Mac for That,https://www.youtube.com/watch?v=-ofshm1bEnA
super-bowl-2017-ispot-a33a,2017,Aflac,Surgery,https://www.youtube.com/watch?v=DHfGISQXM70
super-bowl-2017-ispot-a33c,2017,Michelin,I Need You,https://www.youtube.com/watch?v=bfPB862dY6Q
super-bowl-2017-ispot-a33d,2017,Taco Bell,Street Names,https://www.youtube.com/watch?v=UYW9lpG8sBI
super-bowl-2017-ispot-a33e,2017,FX Network,Legion Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=LgrGaaS71W0
super-bowl-2017-ispot-a33g,2017,Bethesda Softworks,The Elder Scrolls III: Morrowind,https://www.youtube.com/watch?v=Cr3TCWPlDrw
super-bowl-2017-ispot-a33i,2017,Coca-Cola,Together Is Beautiful,https://www.youtube.com/watch?v=fX6OwLx2hek
super-bowl-2017-ispot-a33l,2017,FOX,The Mick Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=NJbIEM4Z3sw
super-bowl-2017-ispot-a33m,2017,FOX,MasterChef Junior Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=Z3sU_FOXVG8
super-bowl-2017-ispot-a33n,2017,Pizza Hut,Oh My,https://www.youtube.com/watch?v=kl_vgnh93lg
super-bowl-2017-ispot-a33p,2017,Machine Zone,Mobile Strike: Arnold's One Liners,https://www.youtube.com/watch?v=gDbtzVR243I
super-bowl-2017-ispot-a33q,2017,Google Home,Coming Home,https://www.youtube.com/watch?v=myxf3aCTcBI
super-bowl-2017-ispot-a33s,2017,Advil,Polar Plunge,https://www.youtube.com/watch?v=L99ijVTWCZY
super-bowl-2017-ispot-a33u,2017,FOX,2017 Daytona 500 Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=QlLnwlFI33w
super-bowl-2017-ispot-a33v,2017,Skittles,Romance,https://www.youtube.com/watch?v=f8X8Ygy5VjI
super-bowl-2017-ispot-a33w,2017,Pepsi,Super Bowl 2017 Teaser: Countdown: 0 Days,https://www.youtube.com/watch?v=1pdQapwIvXM
super-bowl-2017-ispot-a33y,2017,National Geographic,Genius Super Bowl 2017 TV Promo: Pre-Game,https://www.youtube.com/watch?v=tMwFUGik6b4
super-bowl-2017-ispot-a33z,2017,FOX,Lethal Weapon Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=BYN8UHgf_BQ
super-bowl-2017-ispot-a38a,2017,Pepsi,Super Bowl 2017 Teaser: Countdown: 2 Days,https://www.youtube.com/watch?v=1pdQapwIvXM
super-bowl-2017-ispot-a38z,2017,Pepsi,Super Bowl 2017 Teaser: Countdown: 1 Day,https://www.youtube.com/watch?v=N5O8cPxSuFI
super-bowl-2017-ispot-a3bp,2017,Machine Zone,Super Bowl 2017 Teaser: Mobile Strike: The Party Pooper,https://www.youtube.com/watch?v=FUxfKxk5Ny4
super-bowl-2017-ispot-a3c1,2017,Honda,Yearbooks [T1],https://www.youtube.com/watch?v=e9xhxfaHPpQ
super-bowl-2017-ispot-a3c2,2017,NFL,Future of Football: Virtual Player,https://www.youtube.com/watch?v=wVcoJzXkSl8
super-bowl-2017-ispot-a3c6,2017,Bai,Bye Bye Bye,https://www.youtube.com/watch?v=8nIaX4CIpAU
super-bowl-2017-ispot-a3c7,2017,LIFEWTR,Inspiration Drops,https://www.youtube.com/watch?v=UnTBxp8Zrx4
super-bowl-2017-ispot-a3c9,2017,Positive Coaching Alliance,FOX Sports: Future,https://www.youtube.com/watch?v=3YqLUcIKiIo
super-bowl-2017-ispot-a3ca,2017,FOX,Empire Super Bowl 2017 TV Promo,https://www.youtube.com/watch?v=NJbIEM4Z3sw
