id,case_name,brand,agency,year,current_award_category,current_category_bucket,suggested_category_bucket,confidence,evidence_signal,outbound_url,source_url
2001-magic-car-bmw,MAGIC CAR,BMW,JUNG VON MATT/ISAR MUNICH,2001,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/bmw-c-1-19294.html,https://lovetheworkmore.com/2001-2/
2001-metre-arias,METRE,ARIAS,TANDEM DDB MADRID,2001,,,Film,0.45,fallback_default,https://drive.google.com/file/d/1-5i7q-x8XaeHDG3Hi4d-8dvh9gGOH_FO/view?usp=drive_link,https://lovetheworkmore.com/2001-2/
2001-mlk-boston-globe,MLK,BOSTON GLOBE,HOLLAND MARK ADVERTISING BOSTON,2001,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.oneclub.org/awards/theoneshow/-award/14263/,https://lovetheworkmore.com/2001-2/
2001-newspaper-i-newspaper-ii-dyrup-syrup,"NEWSPAPER I, NEWSPAPER II",DYRUP SYRUP,YOUNG & RUBICAM PORTUGAL LISBON,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=_A--XCK_nEk,https://lovetheworkmore.com/2001-2/
2001-nike-id-nike,NIKE ID,NIKE,CRITICAL MASS CALGARY,2001,,,Digital,0.85,\b(digital|interactive|website|web|app|mobile)\b,https://www.oneclub.org/awards/theoneshow/-award/2883/nike-id,https://lovetheworkmore.com/2001-2/
2001-ocean-land-valley-mag-lite,"OCEAN, LAND, VALLEY",MAG- LITE,TUGBOAT TOKYO,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=oY2-7sRUu9U,https://lovetheworkmore.com/2001-2/
2001-second-hand-apple-service,SECOND HAND,APPLE SERVICE,SCHOLZ & FRIENDS BERLIN,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=WHqxBlFuIXA,https://lovetheworkmore.com/2001-2/
2001-secrets-of-a-tobacco-executive-florida-anti-tobacco-pilot-program,SECRETS OF A TOBACCO EXECUTIVE,FLORIDA ANTI-TOBACCO PILOT PROGRAM,CP+B MIAMI,2001,,,Film,0.45,fallback_default,https://timdroper.com/truth-secrets-of-a-tobacco-executive,https://lovetheworkmore.com/2001-2/
2001-the-driver-giraudy,THE DRIVER,GIRAUDY,BDDP ET FILS PARIS,2001,,,Film,0.45,fallback_default,https://drive.google.com/drive/folders/1UxXP8kz9C4lMsBIp50fvHuqfIyB964EE?usp=drive_link,https://lovetheworkmore.com/2001-2/
2001-the-longest-day-kansas-farm-boy-national-d-day-museum,"THE LONGEST DAY, KANSAS FARM BOY",NATIONAL D-DAY MUSEUM,GMO HILL HOLLIDAY SAN FRANCISCO,2001,,,Film,0.45,fallback_default,http://chuck-meehan-4w4g.squarespace.com/#/the-national-d-day-museum/,https://lovetheworkmore.com/2001-2/
2001-weightwatchers-online-weight-loss-programme,WEIGHTWATCHERS,ONLINE WEIGHT-LOSS PROGRAMME,MODEM MEDIA BOSTON,2001,,,Digital,0.85,\b(digital|interactive|website|web|app|mobile)\b,https://www.oneclub.org/awards/theoneshow/-award/2527/weightwatcherscom,https://lovetheworkmore.com/2001-2/
2001-what-are-you-doing-budweiser,WHAT ARE YOU DOING?,BUDWEISER,"GOODBY, SILVERSTEIN & PARTNERS SAN FRANCISCO",2001,,,Film,0.45,fallback_default,https://www.adsoftheworld.com/campaigns/what-are-you-doing,https://lovetheworkmore.com/2001-2/
2002-absolut-composer-gift-protection-absolut-vodka,"ABSOLUT COMPOSER, GIFT, PROTECTION",ABSOLUT VODKA,TBWA\\CHIAT\\DAY NEW YORK,2002,,,Film,0.45,fallback_default,https://dougjaeger.com/projects/2001/11/30/absolut-gift,https://lovetheworkmore.com/2002-2/
2002-absolut-perfection-absolut-vodka,ABSOLUT PERFECTION,ABSOLUT VODKA,SPRINGTIME STOCKHOLM,2002,,,Film,0.45,fallback_default,https://i.insider.com/5d66c9c52e22af1679709973?width=600&format=jpeg&auto=webp,https://lovetheworkmore.com/2002-2/
2002-aids-man-sex-aides,AIDS: MAN SEX,AIDES,TBWA\\PARIS BOULOGNE-BILLANCOURT,2002,,,Film,0.45,fallback_default,https://drive.google.com/file/d/12ty0ILP2NDtU_AH-ioja96PGUCrRvzd3/view?usp=drive_link,https://lovetheworkmore.com/2002-2/
2002-amazing-offer-0-discount-price-guarantee-make-bargains-bang-olufsen,"AMAZING OFFER, 0% DISCOUNT, PRICE GUARANTEE, MAKE BARGAINS",BANG & OLUFSEN,JERLOV & KORBERG GOTHENBURG,2002,,,Film,0.45,fallback_default,https://drive.google.com/drive/folders/1iZWTbHaAEK0qu9EllwrLO7vRiMebbKcH?usp=drive_link,https://lovetheworkmore.com/2002-2/
2002-and-the-winners-are-pbh,AND THE WINNERS ARE,PBH,"DUVAL GUILLAUME BRUSSELS, BRUSSELS",2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=EraMoRQVgiE,https://lovetheworkmore.com/2002-2/
2002-any-color-you-can-think-of-dulux,ANY COLOR YOU CAN THINK OF,DULUX,LOWE BULL CALVERT PACE JOHANNESBURG,2002,,,Film,0.45,fallback_default,http://www.mlcbullring.com/dulux,https://lovetheworkmore.com/2002-2/
2002-are-you-mini-bmw,ARE YOU MINI?,BMW,BBDO INTERONE MUNCHEN,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=viAMjKOfkUI,https://lovetheworkmore.com/2002-2/
2002-bellies-molson,BELLIES,MOLSON,J.WALTER THOMPSON RIO DE JANEIRO,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=8urf8-B-xrE,https://lovetheworkmore.com/2002-2/
2002-churchill-sinatra-bic,"CHURCHILL, SINATRA",BIC,TBWA\\LISBON,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=J9z-VIqp_Fs,https://lovetheworkmore.com/2002-2/
2002-couples-friends-family-sea-shepherd,"COUPLES, FRIENDS, FAMILY",SEA SHEPHERD,SAATCHI & SAATCHI SINGAPORE,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=_jXYvcYPGU8,https://lovetheworkmore.com/2002-2/
2002-coverage-yard-fitness-centers,COVERAGE,YARD FITNESS CENTERS,BACKYARD PRODUCTIONS CHICAGO,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=BMyeP5wszRQ,https://lovetheworkmore.com/2002-2/
2002-curler-rowenta-curling-iron,CURLER,ROWENTA CURLING IRON,PUBLICIS WERBEAGENTUR FRANKFURT,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=k31iLAb3rmE,https://lovetheworkmore.com/2002-2/
2002-duracell-ultra-m3-launch-duracell,DURACELL ULTRA M3 LAUNCH,DURACELL,OMD LONDON,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=IxV1QzBwqNM,https://lovetheworkmore.com/2002-2/
2002-fridge-bud-light,FRIDGE,BUD LIGHT,DOWNTOWN PARTNERS TORONTO,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=S91pAa1J07k,https://lovetheworkmore.com/2002-2/
2002-gourd-land-rover,GOURD,LAND ROVER,RAINEY KELLY CAMPBELL ROALFE/Y&R LONDON,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=IdqWjgdiok8,https://lovetheworkmore.com/2002-2/
2002-great-idea-fedex,GREAT IDEA,FEDEX,@RADICAL.MEDIA NEW YORK,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=zNCrMEOqHpc,https://lovetheworkmore.com/2002-2/
2002-half-day-off-smirnoff,HALF-DAY OFF,SMIRNOFF,WOW RAPP COLLINS AUCKLAND,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=QSwWaMOkVgo,https://lovetheworkmore.com/2002-2/
2002-independence-harley-davidson,INDEPENDENCE,HARLEY DAVIDSON,GIOVANNI FCB SÃO PAULO,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=9lvlKBJ1Tss,https://lovetheworkmore.com/2002-2/
2002-just-do-it-mickey-e-mc2-heredia,"JUST DO IT, MICKEY, E=MC2",HEREDIA,LEO BURNETT LISBON,2002,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=RnR6Bte3e4s,https://lovetheworkmore.com/2002-2/
