id,year,brand,title,agency,current_url,query,best_adsspot_url,best_score,candidate_2,candidate_3,candidate_count
2011-what-a-person-can-miss-a-machine-will-find-the-polish-federation-of-cancer-survivors,2011,THE POLISH FEDERATION OF CANCER SURVIVORS,WHAT A PERSON CAN MISS A MACHINE WILL FIND,HAVAS WARSAW,https://www.youtube.com/watch?v=sfDdAuitZjk&ab_channel=Havas,WHAT A PERSON CAN MISS A MACHINE WILL FIND THE POLISH FEDERATION OF CANCER SURVIVORS 2011 site:adsspot.me/media,,,,,0
2011-when-i-grow-up-faktum,2011,FAKTUM,WHEN I GROW UP,FORSMAN & BODENFORS STOCKHOLM,https://forsman.co/work/faktum/calendar-2011-when-i-grow-up,WHEN I GROW UP FAKTUM 2011 site:adsspot.me/media,,,,,0
2011-woman-bald-bear-santa-casa-da-misericordia,2011,SANTA CASA DA MISERICORDIA,"WOMAN, BALD, BEAR",Y&R SÃO PAULO,https://www.adsoftheworld.com/campaign/santa-casa-yr-05-2011,"WOMAN, BALD, BEAR SANTA CASA DA MISERICORDIA 2011 site:adsspot.me/media",,,,,0
2010-always-a-woman-john-lewis,2010,JOHN LEWIS,ALWAYS A WOMAN,ADAM&EVEDDB LONDON,https://adamandeveddb.com/work/john-lewis-and-partners-always-a-woman,ALWAYS A WOMAN JOHN LEWIS 2010 site:adsspot.me/media,,,,,0
2010-auto-insurance-nissan,2010,NISSAN,AUTO INSURANCE,TBWA SÃO PAULO,https://www.adsoftheworld.com/campaign/nissan-tbwa-06-2010_0,AUTO INSURANCE NISSAN 2010 site:adsspot.me/media,,,,,0
2010-car-safe-antique-midea,2010,MIDEA,"CAR, SAFE, ANTIQUE",OGILVY SHANGHAI,https://www.adsoftheworld.com/campaign/midea-ogilvy-06-2010,"CAR, SAFE, ANTIQUE MIDEA 2010 site:adsspot.me/media",,,,,0
2010-come-i-wish-to-see-you-masp,2010,MASP,COME. I WISH TO SEE YOU.,DDB SÃO PAULO,https://www.adsoftheworld.com/campaign/masp-ddb-02-2010,COME. I WISH TO SEE YOU. MASP 2010 site:adsspot.me/media,,,,,0
2010-find-music-the-fridge,2010,THE FRIDGE,FIND MUSIC,TBWA DUBAI,https://www.adsoftheworld.com/campaign/the-fridge-tbwa-06-2010,FIND MUSIC THE FRIDGE 2010 site:adsspot.me/media,,,,,0
2010-follow-the-white-rabbit-syfy,2010,SYFY,FOLLOW THE WHITE RABBIT,FALLON MINNEAPOLIS,https://www.catchaaron.com/syfy-channel-follow-the-white-rabbit,FOLLOW THE WHITE RABBIT SYFY 2010 site:adsspot.me/media,,,,,0
2010-gun-ring-watch-masterlock,2010,MASTERLOCK,"GUN, RING, WATCH",FOXP2 CAPE TOWN,https://www.adsoftheworld.com/campaign/master-lock-foxp2-11-2009,"GUN, RING, WATCH MASTERLOCK 2010 site:adsspot.me/media",,,,,0
2010-it-barely-leaves-a-trace-klunter-adhesive,2010,KLUNTER ADHESIVE,IT BARELY LEAVES A TRACE,Y&R BOGOTA,https://www.adsoftheworld.com/campaign/klunter-yr-04-2010,IT BARELY LEAVES A TRACE KLUNTER ADHESIVE 2010 site:adsspot.me/media,,,,,0
2010-josh-s-band-t-mobile,2010,T MOBILE,JOSH’S BAND,SAATCHI & SAATCHI LONDON,https://www.youtube.com/watch?v=jzRF10wwdvo,JOSH’S BAND T MOBILE 2010 site:adsspot.me/media,,,,,0
2010-life-s-hard-when-you-re-a-fat-dog-masterdog-light,2010,MASTERDOG LIGHT,LIFE’S HARD WHEN YOU’RE A FAT DOG,Y&R SANTIAGO,https://www.adsoftheworld.com/campaign/master-dog-yr-05-2010,LIFE’S HARD WHEN YOU’RE A FAT DOG MASTERDOG LIGHT 2010 site:adsspot.me/media,,,,,0
2010-mud-fedex,2010,FEDEX,MUD,BBDO MAKATI CITY,https://adsarchive.com/wp-content/uploads/2015/04/fedexmud.jpg,MUD FEDEX 2010 site:adsspot.me/media,,,,,0
2010-organo-elephant-vault-ford,2010,FORD,"ORGANO, ELEPHANT, VAULT",JWT BUENOS AIRES,https://www.adsoftheworld.com/campaign/ford-jwt-06-2010,"ORGANO, ELEPHANT, VAULT FORD 2010 site:adsspot.me/media",,,,,0
2010-out-of-this-world-lika-gum,2010,LIKA GUM,OUT OF THIS WORLD,ELEPHANT CAIRO,https://www.adsoftheworld.com/campaign/lika-gum-elephant-03-2010,OUT OF THIS WORLD LIKA GUM 2010 site:adsspot.me/media,,,,,0
2010-pig-calf-chicken-luftal-antacid,2010,LUFTAL ANTACID,"PIG, CALF, CHICKEN",TBWA SÃO PAULO,https://www.adsoftheworld.com/campaign/alcaluftal-tbwa-05-2010,"PIG, CALF, CHICKEN LUFTAL ANTACID 2010 site:adsspot.me/media",,,,,0
2010-polar-bear-plane-stupid,2010,PLANE STUPID,POLAR BEAR,MOTHER LONDON,https://www.youtube.com/watch?v=aMnzSvZP_kE,POLAR BEAR PLANE STUPID 2010 site:adsspot.me/media,,,,,0
2010-the-sooner-you-advertise-here-the-better-interbest-outdoor,2010,INTERBEST OUTDOOR,THE SOONER YOU ADVERTISE HERE THE BETTER.,Y&R AMSTERDAM,https://www.adsoftheworld.com/campaign/interbest-yr-06-2010,THE SOONER YOU ADVERTISE HERE THE BETTER. INTERBEST OUTDOOR 2010 site:adsspot.me/media,,,,,0
2010-unicorn-squirrel-bambi-deutscher-caritasverband,2010,DEUTSCHER CARITASVERBAND,"UNICORN, SQUIRREL, BAMBI",BBDO DUSSELDORF,https://www.adsoftheworld.com/campaign/caritas-bbdo-06-2010,"UNICORN, SQUIRREL, BAMBI DEUTSCHER CARITASVERBAND 2010 site:adsspot.me/media",,,,,0
