id,year,brand,case_name,current_outbound_url,expected_ispot_url,source_url
super-bowl-2022-ispot-bvkd,2022,T-Mobile,Do It for the Phones,https://www.youtube.com/watch?v=jja4WKT9Px8,https://www.ispot.tv/ad/BVKD,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvkr,2022,NBC,Rivals,https://www.youtube.com/watch?v=tY2TAb_uXcs,https://www.ispot.tv/ad/BVKR,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvky,2022,NBC,Sam,https://www.youtube.com/watch?v=yt8tR3nuG6A,https://www.ispot.tv/ad/BVKY,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvoa,2022,BMW,Teaser: Hey Zeus! [T1],https://www.youtube.com/watch?v=16-No7CmNHg,https://www.ispot.tv/ad/BVOA,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvod,2022,T-Mobile Home Internet,A Duet for Home Internet,https://www.youtube.com/watch?v=YVeCwSWNLrM,https://www.ispot.tv/ad/BVOD,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvoe,2022,NFL,Teaser: Is This Eli's Size?,https://www.youtube.com/watch?v=5PQ4HC8TNuw,https://www.ispot.tv/ad/BVOE,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvok,2022,Verizon Home Internet,Teaser: It Will Never Be the Same,https://www.youtube.com/watch?v=hXMta3PP8q0,https://www.ispot.tv/ad/BVOK,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvoy,2022,QuickBooks,Teaser: Small Biz Key No. 7,https://www.youtube.com/watch?v=FY0ng5FNVoQ,https://www.ispot.tv/ad/BVOY,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvp1,2022,McDonald's,Can I Get Uhhhhhhhhhhhh,https://www.youtube.com/watch?v=djG52oBOeeg,https://www.ispot.tv/ad/BVP1,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvp5,2022,NBC,Beyond Belief,https://www.youtube.com/watch?v=yt8tR3nuG6A,https://www.ispot.tv/ad/BVP5,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvp6,2022,BMW,Zeus & Hera,https://www.youtube.com/watch?v=nUC1QA5gRcU,https://www.ispot.tv/ad/BVP6,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpb,2022,Salesforce,New Frontier,https://www.youtube.com/watch?v=vNYf6b9Yg9Y,https://www.ispot.tv/ad/BVPB,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpd,2022,NBC,Here for the Gold,https://www.youtube.com/watch?v=yt8tR3nuG6A,https://www.ispot.tv/ad/BVPD,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpf,2022,NBC,The Original Returns,https://www.youtube.com/watch?v=Aq02MZGgprY,https://www.ispot.tv/ad/BVPF,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpj,2022,NFL,We Believe,https://www.youtube.com/watch?v=S-KEx9Ep1Mg,https://www.ispot.tv/ad/BVPJ,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpk,2022,NFL,Bring Down the House,https://www.youtube.com/watch?v=S-KEx9Ep1Mg,https://www.ispot.tv/ad/BVPK,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpn,2022,Cutwater Spirits,Here's to the Lazy Ones,https://www.youtube.com/watch?v=pFe0zrHdBa0,https://www.ispot.tv/ad/BVPN,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpp,2022,Verizon,Halftime Just Went Ultra,https://www.youtube.com/watch?v=uyc-T-_wFJ8,https://www.ispot.tv/ad/BVPP,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpq,2022,SKECHERS,Back on the Road,https://www.youtube.com/watch?v=v0ijL6pcW1g,https://www.ispot.tv/ad/BVPQ,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpr,2022,NBC,Amazing Final Act,https://www.youtube.com/watch?v=5JpPpjAdMfo,https://www.ispot.tv/ad/BVPR,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpt,2022,NBC,Dig It,https://www.youtube.com/watch?v=eIjT_8xIIrY,https://www.ispot.tv/ad/BVPT,https://www.ispot.tv/events/2022-super-bowl-commercials
super-bowl-2022-ispot-bvpz,2022,NBC,Monobob,https://www.youtube.com/watch?v=Cx9RhqlAULg,https://www.ispot.tv/ad/BVPZ,https://www.ispot.tv/events/2022-super-bowl-commercials
