id,year,brand,title,agency,current_outbound_url,query,best_score,best_video_url,best_video_title,best_thumbnail_url
2022-lil-dicky-quartertime-show-gopuff,2022,GOPUFF,LIL DICKY QUARTERTIME SHOW,MIRIMAR LOS ANGELES,https://www.youtube.com/watch?v=qyH7jiUwEYM,LIL DICKY QUARTERTIME SHOW GOPUFF 2022 case study,0.6667,https://www.youtube.com/watch?v=F0r97aJ9hVY,The Gopuff Quartertime Show Starring Lil Dicky Super Bowl 2022,https://i.ytimg.com/vi/F0r97aJ9hVY/hqdefault.jpg
2022-missing-stock-international-foundation-for-reunion-mudi-3d-ar-studio,2022,INTERNATIONAL FOUNDATION FOR REUNION + MUDI 3D & AR STUDIO,MISSING STOCK,WUNDERMAN THOMPSON BOGOTÁ,https://www.lbbonline.com/work/64828,MISSING STOCK INTERNATIONAL FOUNDATION FOR REUNION + MUDI 3D & AR STUDIO 2022 case study,0.0833,https://www.youtube.com/watch?v=xv8Gmxcbe6Y,"Designers for the Future, ENVIRONMENTS — MIT MAD Part 3 Replay / May 1, 2024",https://i.ytimg.com/vi/xv8Gmxcbe6Y/hqdefault.jpg
2022-stayfree-project-free-period-johnson-johnson,2022,JOHNSON & JOHNSON,STAYFREE PROJECT FREE PERIOD,DDB MUDRA MUMBAI,https://www.youtube.com/watch?v=oUK6ZGKfA6Q,STAYFREE PROJECT FREE PERIOD JOHNSON & JOHNSON 2022 case study,0.4444,https://www.youtube.com/watch?v=0ZWiWrwwwjE,Stayfree Project Free Period - Case Film,https://i.ytimg.com/vi/0ZWiWrwwwjE/hqdefault.jpg
2022-superhero-mcdonald-s,2022,MCDONALD’S,SUPERHERO,TBWA\ESPAÑA MADRID,https://www.youtube.com/watch?v=ZNo00_83ajA,SUPERHERO MCDONALD’S 2022 case study,0.3333,https://www.youtube.com/watch?v=QFE4w2IzBeM,McDonalds: Superhero (Cannes advertising 2022) (Film Category Bronze Lion),https://i.ytimg.com/vi/QFE4w2IzBeM/hqdefault.jpg
2022-the-most-wanted-portrait-alcald-a-de-soacha,2022,ALCALDÍA DE SOACHA,THE MOST WANTED PORTRAIT,SANCHO BBDO BOGOTÁ,https://clios.com/awards/winner/direct/alcald%C3%ADa-de-soacha/the-most-wanted-portrait-114204,THE MOST WANTED PORTRAIT ALCALDÍA DE SOACHA 2022 case study,0.2,https://www.youtube.com/watch?v=h3uQ6CajtYc,Inside the Americas – The Mothers of Soacha,https://i.ytimg.com/vi/h3uQ6CajtYc/hqdefault.jpg
2022-the-truth-takes-a-journalist-the-new-york-times,2022,THE NEW YORK TIMES,THE TRUTH TAKES A JOURNALIST,FINAL CUT NEW YORK,https://www.youtube.com/watch?v=uAsmh7yuR3U,THE TRUTH TAKES A JOURNALIST THE NEW YORK TIMES 2022 case study,0.7,https://www.youtube.com/watch?v=Y5NXk4ymmqQ,The New York Times - The Truth Takes a Journalist | Hand-picked by Good Ads Matter,https://i.ytimg.com/vi/Y5NXk4ymmqQ/hqdefault.jpg
2022-tiktok-teachers-femesor,2022,FEMESOR,TIKTOK TEACHERS,DDB MEXICO MEXICO CITY,https://www.youtube.com/watch?v=Pcf7EFVIH6A&ab_channel=DDBLatina,TIKTOK TEACHERS FEMESOR 2022 case study,0.2857,https://www.youtube.com/watch?v=P5Qs95PpcSg,TikTok Teachers NEED to be Stopped…,https://i.ytimg.com/vi/P5Qs95PpcSg/hqdefault.jpg
2022-we-will-become-better-lgbtnet-org,2022,LGBTNET.ORG,WE WILL BECOME BETTER,HALAL AMSTERDAM,https://www.youtube.com/watch?v=hGRkKVPpcvU,WE WILL BECOME BETTER LGBTNET.ORG 2022 case study,0.25,https://www.youtube.com/watch?v=OwthmTd54EA,March 2022: LGBTQ Competent Care: How Can We Do Better?,https://i.ytimg.com/vi/OwthmTd54EA/hqdefault.jpg
2019-9-58-seconds-the-world-s-fastest-annual-report-puma-se,2019,PUMA SE,9.58 SECONDS: THE WORLD’S FASTEST ANNUAL REPORT,PUBLICIS HAMBURG,https://clios.com/awards/winner/digital-mobile-social-media-technique/puma-se/9-58-seconds-the-world-s-fastest-annual-report-69437,9.58 SECONDS: THE WORLD’S FASTEST ANNUAL REPORT PUMA SE 2019 case study,0.7,https://www.youtube.com/watch?v=nYKEGhiJ-ZU,PUMA The World´s Fastest Annual Report - Publicis PixelPark,https://i.ytimg.com/vi/nYKEGhiJ-ZU/hqdefault.jpg
2019-an-post-address-point,2019,ADDRESS POINT,AN POST,WUNDERMAN THOMPSON DUBLIN,http://post/address-point-pointing-a-way-back-home-for-ireland-67773,AN POST ADDRESS POINT 2019 case study,0.4286,https://www.youtube.com/watch?v=YjtnAOH9ZfE,An Post - Address Point,https://i.ytimg.com/vi/YjtnAOH9ZfE/hqdefault.jpg
2019-apple-at-work-the-underdogs-apple,2019,APPLE,APPLE AT WORK: THE UNDERDOGS,SMUGGLER LOS ANGELES,https://www.youtube.com/watch?v=bvM7LPfa_q8,APPLE AT WORK: THE UNDERDOGS APPLE 2019 case study,0.5,https://www.youtube.com/watch?v=JJwdhWM9d0Y,The Underdogs: Apple at Work,https://i.ytimg.com/vi/JJwdhWM9d0Y/hqdefault.jpg
2019-behind-the-mac-make-something-wonderful-apple,2019,MAKE SOMETHING WONDERFUL – APPLE,BEHIND THE MAC,,https://www.youtube.com/watch?v=Ny-MGNf301k&ab_channel=AppleUK,BEHIND THE MAC MAKE SOMETHING WONDERFUL – APPLE 2019 case study,,,,
2019-blink-test-jimmy-nelson-foundation,2019,JIMMY NELSON FOUNDATION,BLINK TEST,WUNDERMAN THOMPSON MUMBAI,https://www.youtube.com/watch?v=YCT6HzTqEmo,BLINK TEST JIMMY NELSON FOUNDATION 2019 case study,0.5556,https://www.youtube.com/watch?v=jaOvud1iWuU,Jimmy Nelson Foundation for Blink Test by JWT (Award Winning),https://i.ytimg.com/vi/jaOvud1iWuU/hqdefault.jpg
2019-block-wish-hok-elanto,2019,HOK-ELANTO,BLOCK WISH,,https://clios.com/awards/winner/digital-mobile-social-media-technique/alepa/block-wish-49298,BLOCK WISH HOK-ELANTO 2019 case study,0.4,https://www.youtube.com/watch?v=qLQ6rUBdphs,YARIA FLAWLESS WISH | WORTH IT? #honorofkings #Hok,https://i.ytimg.com/vi/qLQ6rUBdphs/hqdefault.jpg
2019-cards-of-knowledgement-miscarriage-association,2019,MISCARRIAGE ASSOCIATION,CARDS OF KNOWLEDGEMENT,MCCANN LONDON,https://creativepool.com/mrmlondon/projects/cards-of-acknowledgement-for-miscarriage-association-,CARDS OF KNOWLEDGEMENT MISCARRIAGE ASSOCIATION 2019 case study,0.2857,https://www.youtube.com/watch?v=amuISGorZvU,Miscarriage Support - Q \u0026 A with Katy Schnitzler from the Miscarriage Association.,https://i.ytimg.com/vi/amuISGorZvU/hqdefault.jpg
2019-contract-translator-reclame-aqui,2019,RECLAME AQUI,CONTRACT TRANSLATOR,GREY SÃO PAULO,https://sites.wpp.com/wppedcream/2019/advertising/promo_and_activation/contract-translator,CONTRACT TRANSLATOR RECLAME AQUI 2019 case study,0.375,https://www.youtube.com/watch?v=7XRYvV0Qp6E,Grey Brasil - The Art of Waiting (Reclame Aqui),https://i.ytimg.com/vi/7XRYvV0Qp6E/hqdefault.jpg
2019-dollar-agony-ripio,2019,RIPIO,DOLLAR AGONY,VMLY&R BUENOS AIRES,https://sites.wpp.com/wppedcream/2019/advertising/radio/dollar-agony?c=5e3417d9-cc54-4fa9-84d7-bd8a923a09ff,DOLLAR AGONY RIPIO 2019 case study,,,,
2019-e-quality-telefonica-brasil-s-a,2019,TELEFONICA BRASIL S.A.,E-QUALITY,VMLY&R SÃO PAULO,https://www.vmlyr.com/work/vivo-telefonica-brasil-e-quality,E-QUALITY TELEFONICA BRASIL S.A. 2019 case study,,,,
2019-lessons-for-good-leroy-merlin,2019,LEROY MERLIN,LESSONS FOR GOOD,PUBLICIS MILAN,https://clios.com/awards/winner/experiential-events/leroy-merlin/lessons-for-good-72287,LESSONS FOR GOOD LEROY MERLIN 2019 case study,,,,
2019-nationalroastday-wendy-s,2019,WENDY’S,#NATIONALROASTDAY,VMLY&R KANSAS,https://www.vmlyr.com/work/nationalroastday,#NATIONALROASTDAY WENDY’S 2019 case study,,,,
2019-natural-disasters-amnesty,2019,AMNESTY,NATURAL DISASTERS,VMLY&R SANTIAGO,https://www.vmlyr.com/work/natural-disasters,NATURAL DISASTERS AMNESTY 2019 case study,,,,
2019-oakley-it-s-ok-oakley,2019,OAKLEY,OAKLEY “IT’S OK”,GREGORY CARON MUSIC & SOUND DESIGN GENT,https://clios.com/awards/winner/film-technique-music-original/oakley/oakley-it-s-ok-56913,OAKLEY “IT’S OK” OAKLEY 2019 case study,,,,
2019-pass-the-bill-leaf-forward,2019,LEAF FORWARD,PASS THE BILL,RETHINK TORONTO,https://clios.com/awards/winner/innovation/leaf-forward/pass-the-bill-68582,PASS THE BILL LEAF FORWARD 2019 case study,,,,
2019-pride-shield-mergence-foundation,2019,ÉMERGENCE FOUNDATION,PRIDE SHIELD,RETHINK MONTREAL,https://rethinkcanada.com/work/fondation-emergence/2018/experiential/the-pride-shield/,PRIDE SHIELD ÉMERGENCE FOUNDATION 2019 case study,,,,
2019-rearranged-queens-berliner-philharmoniker,2019,BERLINER PHILHARMONIKER,REARRANGED QUEENS,SCHOLZ & FRIENDS BERLIN,https://clios.com/awards/winner/out-of-home/berliner-philharmoniker/rearranged-1-70963,REARRANGED QUEENS BERLINER PHILHARMONIKER 2019 case study,,,,
2019-squarespace-make-it-squarespace,2019,SQUARESPACE,SQUARESPACE MAKE IT,MJZ LOS ANGELES,https://clios.com/awards/winner/film/squarespace/make-it-72251,SQUARESPACE MAKE IT SQUARESPACE 2019 case study,,,,
2019-the-8-city-of-no-cars-bmv,2019,CITY OF NO CARS – BMV,THE 8,SERVICEPLAN MUNICH,https://clios.com/awards/winner/film-technique-cinematography/bmw/the-8-city-of-no-cars-70803,THE 8 CITY OF NO CARS – BMV 2019 case study,,,,
2019-the-9-58-biography-puma,2019,PUMA,THE 9’58 BIOGRAPHY,BETC SÃO PAULO,https://clios.com/awards/winner/design/puma/the-9-58-biography-73780,THE 9’58 BIOGRAPHY PUMA 2019 case study,,,,
2019-the-commercial-that-saves-lives-ministerio-de-salud-chile,2019,MINISTERIO DE SALUD CHILE,THE COMMERCIAL THAT SAVES LIVES,VMLY&R SANTIAGO,https://www.vmlyr.com/work/ministerio-de-salud-chile-commercial-saves-lives,THE COMMERCIAL THAT SAVES LIVES MINISTERIO DE SALUD CHILE 2019 case study,,,,
2019-tourists-volkswagen,2019,VOLKSWAGEN,TOURISTS,BBDO SÃO PAULO,https://carlosyanke.work/Park-Assist,TOURISTS VOLKSWAGEN 2019 case study,,,,
2018-ake-demo-dir-komson,2018,DIR. KOMSON,AKE DEMO,SUNETA HOUSE BANGKOK,http://sunetahouse.com/video/226289889,AKE DEMO DIR. KOMSON 2018 case study,,,,
2018-all-night-long-trading-td-ameritrade,2018,TD AMERITRADE,ALL NIGHT LONG TRADING,HAVAS NEW YORK,https://dare.havas.com/news-archive/all-night-long/,ALL NIGHT LONG TRADING TD AMERITRADE 2018 case study,,,,
2018-america-just-like-the-movies-norwegian-air,2018,NORWEGIAN AIR,AMERICA. JUST LIKE THE MOVIES.,TRY OSLO,https://www.youtube.com/watch?v=CXFMQss33CQ&ab_channel=GREATADS%26LESSGREATADS%28BUTSTILLOK%29,AMERICA. JUST LIKE THE MOVIES. NORWEGIAN AIR 2018 case study,,,,
2018-aussie-news-today-tourism-australia,2018,TOURISM AUSTRALIA,AUSSIE NEWS TODAY,CLEMENGER BBDO SYDNEY,https://bbdo.com/work/5b47b2e4f1e61df43c775622,AUSSIE NEWS TODAY TOURISM AUSTRALIA 2018 case study,,,,
2018-beware-the-dangers-of-almost-the-same-toyota,2018,TOYOTA,BEWARE THE DANGERS OF ALMOST THE SAME,TOYOTA PALMERSTON NORTH,http://jakeandjoshcreative.com/beware-the-dangers-of-almost-the-same-1,BEWARE THE DANGERS OF ALMOST THE SAME TOYOTA 2018 case study,,,,
2018-boxes-uber,2018,UBER,BOXES,FORSMAN & BODENFORS GOTHENBURG,https://forsman.co/work/uber/boxes,BOXES UBER 2018 case study,0.3333,https://www.youtube.com/watch?v=FO6Knw3cmj0,Lessons from UX - Uber case study| L\u0026D 2018|,https://i.ytimg.com/vi/FO6Knw3cmj0/hqdefault.jpg
2018-breathing-life-into-transit-ads-altered-carbon-netflix,2018,ALTERED CARBON NETFLIX,BREATHING LIFE INTO TRANSIT ADS,MEDIAHUB BOSTON,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851263,BREATHING LIFE INTO TRANSIT ADS ALTERED CARBON NETFLIX 2018 case study,0.2727,https://www.youtube.com/watch?v=7WYA-4iti1w,Netflix - Altered Carbon - Case Study,https://i.ytimg.com/vi/7WYA-4iti1w/hqdefault.jpg
2018-bring-back-your-smile-colgate,2018,COLGATE,BRING BACK YOUR SMILE,RED FUSE PARIS,https://www.adruby.com/print-ads/colgate-bring-back-your-white-smile,BRING BACK YOUR SMILE COLGATE 2018 case study,,,,
2018-carsales-autoads-carsales-com-au,2018,CARSALES.COM.AU,CARSALES AUTOADS,PROXIMITY MELBOURNE,https://clios.com/awards/winner/branded-content/carsales-com-au/autoads-43624,CARSALES AUTOADS CARSALES.COM.AU 2018 case study,,,,
2018-change-gout-grunenthal,2018,GRUNENTHAL,CHANGE GOUT,GRUNENTHAL HIGH WYCOMBE,https://clios.com/health/winner/integrated-campaign-pharmaceutical/gr%C3%BCnenthal/change-gout-52257,CHANGE GOUT GRUNENTHAL 2018 case study,,,,
2018-chatty-school-bus-hyundai,2018,HYUNDAI,CHATTY SCHOOL BUS,INNOCEAN SEOUL,https://clios.com/awards/winner/public-relations/hyundai-motor-company/chatty-school-bus-51247,CHATTY SCHOOL BUS HYUNDAI 2018 case study,,,,
2018-cheetos-museum-frito-lay,2018,FRITO LAY,CHEETOS MUSEUM,GOODBY SILVERSTEIN & PARTNERS SAN FRANCISCO,https://clios.com/awards/winner/events-experiential/cheetos/cheetos-museum-21652,CHEETOS MUSEUM FRITO LAY 2018 case study,,,,
2018-christmas-2117-edeka,2018,EDEKA,CHRISTMAS 2117,JUNG VON MATT HAMBURG,https://clios.com/awards/winner/film-technique-visual-effects/edeka/christmas-2117-38347,CHRISTMAS 2117 EDEKA 2018 case study,0.375,https://www.youtube.com/watch?v=jNs65KjHog8,Beauty In Craft Episode 2 - Christmas 2117 (MPC London \u0026 EDEKA),https://i.ytimg.com/vi/jNs65KjHog8/hqdefault.jpg
2018-cliffside-shop-37-5-technology,2018,37.5 TECHNOLOGY,CLIFFSIDE SHOP,WORKINPROGRESS BOULDER,https://clios.com/awards/winner/out-of-home/37-5-technology/cliffside-shop-39832,CLIFFSIDE SHOP 37.5 TECHNOLOGY 2018 case study,,,,
2018-coma-mini-series-getty-images-almapbbdo,2018,GETTY IMAGES (ALMAPBBDO,COMA MINI SERIES,,https://pedrocorbett.com/getty-images-coma-miniseries,COMA MINI SERIES GETTY IMAGES (ALMAPBBDO 2018 case study,,,,
2018-coverage-coalition-get-america-covered,2018,GET AMERICA COVERED,COVERAGE COALITION,BARTON F GRAF NEW YORK,https://clios.com/awards/winner/public-relations/get-america-covered/coverage-coalition-49303,COVERAGE COALITION GET AMERICA COVERED 2018 case study,,,,
2018-destination-pride-pflag-canada,2018,PFLAG CANADA,DESTINATION PRIDE,FCB/SIX TORONTO,https://clios.com/awards/winner/digital-mobile/pflag-canada/destination-pride-47165,DESTINATION PRIDE PFLAG CANADA 2018 case study,,,,
2018-disappearing-person-alerts-queensland-police,2018,QUEENSLAND POLICE,DISAPPEARING PERSON ALERTS,DENTSU MELBOURNE,https://www.dentsu.com/au/en/our-work/bwm-dentsu-cox-inall-change-disappearing-person-alerts,DISAPPEARING PERSON ALERTS QUEENSLAND POLICE 2018 case study,,,,
2018-dispatch-oculus,2018,OCULUS,DISPATCH,HERE BE DRAGONS LOS ANGELES,https://kyst.co/dispatch,DISPATCH OCULUS 2018 case study,,,,
2018-dissolving-posters-habitat-for-humanity-brazil,2018,HABITAT FOR HUMANITY BRAZIL,DISSOLVING POSTERS,BETC SÃO PAULO,https://clios.com/health/winner/out-of-home-health-wellness/habitat-for-humanity-brazil/the-dissolving-poster-55812,DISSOLVING POSTERS HABITAT FOR HUMANITY BRAZIL 2018 case study,,,,
2018-don-t-let-your-loved-ones-be-the-home-for-worms-ferienzeit,2018,FERIENZEIT,DON’T LET YOUR LOVED ONES BE THE HOME FOR WORMS,SAATCHI & SAATCHI DÜSSELDORF,https://saatchi.de/arbeiten/entry/puenktlich-zur-ferienzeit-neue-reise-kampagne-fuer-elanco/,DON’T LET YOUR LOVED ONES BE THE HOME FOR WORMS FERIENZEIT 2018 case study,,,,
2018-easyassistance-easy-taxi,2018,EASY TAXI (,EASYASSISTANCE,,https://www.youtube.com/watch?v=xYnINEnuga8&ab_channel=%23LatinosEnCannes,EASYASSISTANCE EASY TAXI ( 2018 case study,,,,
2018-edeka-2117-edeka-zentrale-ag-co-kg,2018,EDEKA ZENTRALE AG & CO. KG,EDEKA 2117,MPC LONDON,https://clios.com/awards/winner/film-technique-direction/edeka/christmas-2117-38346,EDEKA 2117 EDEKA ZENTRALE AG & CO. KG 2018 case study,,,,
2018-el-mundo-newspaper-nuyorican-basket-doc,2018,NUYORICAN BASKET DOC,EL MUNDO NEWSPAPER,ARCO PUBLICIDAD SAN JUAN,https://clios.com/entertainment/winner/theatrical-events-experiential/nuyorican-basket-documentary/el-mundo-55413,EL MUNDO NEWSPAPER NUYORICAN BASKET DOC 2018 case study,,,,
2018-fifa-18-more-than-a-game-ea-games,2018,EA GAMES,FIFA 18 MORE THAN A GAME,ADAM&EVEDDB LONDON,https://www.thedrum.com/creative-works/project/adameveddb-fifa-more-game,FIFA 18 MORE THAN A GAME EA GAMES 2018 case study,,,,
2018-fish-scrabble,2018,SCRABBLE,FISH,LOLA MULLENLOWE MADRID,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851094,FISH SCRABBLE 2018 case study,,,,
2018-forbidden-stories-freedom-voices-network,2018,FREEDOM VOICES NETWORK (,FORBIDDEN STORIES,,https://www.youtube.com/watch?v=lhEiEIjvdOQ&ab_channel=WundermanThompsonParis,FORBIDDEN STORIES FREEDOM VOICES NETWORK ( 2018 case study,,,,
2018-geoff-heinz,2018,HEINZ,GEOFF,Y&R AUCKLAND,https://www.vmlyr.com/en-nz/new-zealand/work/heinz-geoff,GEOFF HEINZ 2018 case study,,,,
2018-give-nothing-to-racism-human-rights-commission,2018,HUMAN RIGHTS COMMISSION,GIVE NOTHING TO RACISM,BBDO WELLINGTON,https://www.clemengerbbdo.co.nz/the-work/give-nothing-to-racism,GIVE NOTHING TO RACISM HUMAN RIGHTS COMMISSION 2018 case study,,,,
2018-god-is-busy-sekron-security-systems,2018,SEKRON SECURITY SYSTEMS,GOD IS BUSY,GREY SÃO PAULO,https://josearnaldosuaid.com/God-is-Busy,GOD IS BUSY SEKRON SECURITY SYSTEMS 2018 case study,,,,
2018-hearprint-cochlear-australia,2018,COCHLEAR AUSTRALIA,HEARPRINT,CHE PROXIMITY MELBOURNE,https://www.thedrum.com/creative-works/project/che-proximity-cochlear-hearprint,HEARPRINT COCHLEAR AUSTRALIA 2018 case study,,,,
2018-heath-immigration-jig-saw,2018,JIG SAW,“HEATH IMMIGRATION”,THE CORNER LONDON,https://www.youtube.com/watch?v=g2mPGGQDzH0&ab_channel=MassimoFiori,“HEATH IMMIGRATION” JIG SAW 2018 case study,,,,
2018-help-a-dane-danish-cancer-society-trygfonden,2018,DANISH CANCER SOCIETY & TRYGFONDEN,HELP A DANE,&CO / NOA COPENHAGEN,https://clios.com/health/winner/integrated-campaign-health-wellness/danish-cancer-society-trygfonden/help-a-dane-55847,HELP A DANE DANISH CANCER SOCIETY & TRYGFONDEN 2018 case study,,,,
2018-i-m-still-her-johan-alzheimer,2018,ALZHEIMER,I’M STILL HER: JOHAN,DDB BRUSSELS,https://ddbbrussels.prezly.com/dementia-will-never-take-away-our-beautiful-memories,I’M STILL HER: JOHAN ALZHEIMER 2018 case study,,,,
2018-life-saving-safecap-ford,2018,FORD,LIFE-SAVING SAFECAP,GTB SÃO PAULO,https://activationideas.com/blog/safecap,LIFE-SAVING SAFECAP FORD 2018 case study,,,,
2018-london-symphony-orchestra-sir-simon-rattle,2018,SIR SIMON RATTLE,LONDON SYMPHONY ORCHESTRA,SUPER UNION LONDON,https://www.superunion.com/work/london-symphony-orchestra/,LONDON SYMPHONY ORCHESTRA SIR SIMON RATTLE 2018 case study,,,,
2018-lynching-in-america-google-equal-justice-initiative,2018,GOOGLE & EQUAL JUSTICE INITIATIVE,LYNCHING IN AMERICA,TEAM IN HOUSE,https://www.lizvwells.com/project/lynching-in-america,LYNCHING IN AMERICA GOOGLE & EQUAL JUSTICE INITIATIVE 2018 case study,,,,
2018-my-line-ministry-of-communications-information,2018,MINISTRY OF COMMUNICATIONS & INFORMATION,MY LINE,MULLENLOWE BOGOTÁ,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851133,MY LINE MINISTRY OF COMMUNICATIONS & INFORMATION 2018 case study,,,,
2018-nike-react-game-of-go-nike,2018,NIKE,NIKE REACT GAME OF GO,MEDIAMONKS AMSTERDAM,https://media.monks.com/case-studies/nike-game-of-go-real-time,NIKE REACT GAME OF GO NIKE 2018 case study,,,,
2018-qq-alert-reunion-after-years-tencent,2018,TENCENT,QQ ALERT: REUNION AFTER YEARS,TENCENT SHENZHEN,https://www.youtube.com/watch?v=4ZwJCTNT_Ps&ab_channel=XinYang,QQ ALERT: REUNION AFTER YEARS TENCENT 2018 case study,,,,
2018-r-word-avivo,2018,AVIVO,R WORD,MARKETFORCE PERTH,https://clios.com/health/winner/social-media-health-wellness/avivo/the-r-word-51228,R WORD AVIVO 2018 case study,,,,
2018-rat-s-tale-nz-transport-agency,2018,NZ TRANSPORT AGENCY,RAT’S TALE,FINCH SYDNEY,https://www.finchcompany.com/production/nzta-rats-tale/,RAT’S TALE NZ TRANSPORT AGENCY 2018 case study,,,,
2018-self-discounting-products-koctas,2018,KOCTAS,SELF DISCOUNTING PRODUCTS,DDB ISTANBUL,https://istanbul.ddb.com/en/works/koctas-self-discounting-products/,SELF DISCOUNTING PRODUCTS KOCTAS 2018 case study,,,,
2018-station-with-a-view-skoda,2018,SKODA,STATION WITH A VIEW,ROSAPARK PARIS,http://www.nielsvincent.fr/2018,STATION WITH A VIEW SKODA 2018 case study,,,,
2018-telenet-play-sports-preroll-football-match-play-sports,2018,PLAY SPORTS,TELENET PLAY SPORTS PREROLL FOOTBALL MATCH,TBWA\BRUSSELS,https://www.tbwa.be/cases/47/play-sports-preroll-football-match,TELENET PLAY SPORTS PREROLL FOOTBALL MATCH PLAY SPORTS 2018 case study,,,,
2018-the-canceller-reclame-aqui,2018,RECLAME AQUI,THE CANCELLER,GREY SÃO PAULO,https://www.youtube.com/watch?v=bsrmvc440SI,THE CANCELLER RECLAME AQUI 2018 case study,0.5,https://www.youtube.com/watch?v=XNH5ryBxGIk,Corruption Detector Case Ad Reclame Aqui Grey Brazil 2018,https://i.ytimg.com/vi/XNH5ryBxGIk/hqdefault.jpg
2018-the-curious-cat-book-mars,2018,MARS,THE CURIOUS CAT BOOK,BBDO SÃO PAULO,https://bbdo.com/work/5b182e5bf1e61dad7f19c63c,THE CURIOUS CAT BOOK MARS 2018 case study,,,,
2018-the-equality-bill-ddl-co,2018,DDL&CO,THE EQUALITY BILL,HAVAS BUENOS AIRES,https://www.youtube.com/watch?v=AHQrD2TUMdg,THE EQUALITY BILL DDL&CO 2018 case study,,,,
